LA_code,LA_initial,LA_name,year.1,measure_of_wb,wb_rating,WB_av
S12000033,AbnCity,Aberdeen City,2013,anxiety,average-mean,2.95
S12000033,AbnCity,Aberdeen City,2013,anxiety,very-good,38.41
S12000033,AbnCity,Aberdeen City,2013,happiness,fair,16.11
S12000033,AbnCity,Aberdeen City,2013,worthwhile,average-mean,7.77
S12000033,AbnCity,Aberdeen City,2014,worthwhile,fair,13.1
S12000033,AbnCity,Aberdeen City,2014,worthwhile,good,55.01
S12000033,AbnCity,Aberdeen City,2014,anxiety,good,26.91
S12000033,AbnCity,Aberdeen City,2014,life-satisfaction,good,61.2
S12000033,AbnCity,Aberdeen City,2014,life-satisfaction,poor,4.42
S12000033,AbnCity,Aberdeen City,2014,life-satisfaction,fair,11.7
S12000033,AbnCity,Aberdeen City,2014,happiness,poor,8.72
S12000033,AbnCity,Aberdeen City,2014,worthwhile,very-good,27.45
S12000033,AbnCity,Aberdeen City,2014,worthwhile,poor,4.44
S12000033,AbnCity,Aberdeen City,2014,anxiety,fair,15.79
S12000033,AbnCity,Aberdeen City,2014,life-satisfaction,very-good,22.69
S12000033,AbnCity,Aberdeen City,2014,happiness,very-good,27.95
S12000033,AbnCity,Aberdeen City,2014,worthwhile,average-mean,7.66
S12000033,AbnCity,Aberdeen City,2014,happiness,average-mean,7.31
S12000033,AbnCity,Aberdeen City,2014,happiness,fair,19.82
S12000033,AbnCity,Aberdeen City,2014,happiness,good,43.51
S12000033,AbnCity,Aberdeen City,2014,life-satisfaction,average-mean,7.58
S12000033,AbnCity,Aberdeen City,2014,anxiety,average-mean,2.76
S12000033,AbnCity,Aberdeen City,2014,anxiety,poor,16.93
S12000033,AbnCity,Aberdeen City,2014,anxiety,very-good,40.37
S12000033,AbnCity,Aberdeen City,2015,worthwhile,fair,10.01
S12000033,AbnCity,Aberdeen City,2015,worthwhile,very-good,28.27
S12000033,AbnCity,Aberdeen City,2015,anxiety,fair,12.74
S12000033,AbnCity,Aberdeen City,2015,anxiety,poor,19.66
S12000033,AbnCity,Aberdeen City,2015,life-satisfaction,poor,4.99
S12000033,AbnCity,Aberdeen City,2015,life-satisfaction,very-good,28.03
S12000033,AbnCity,Aberdeen City,2015,anxiety,very-good,40.96
S12000033,AbnCity,Aberdeen City,2015,happiness,good,46.17
S12000033,AbnCity,Aberdeen City,2015,happiness,very-good,29.34
S12000033,AbnCity,Aberdeen City,2015,life-satisfaction,fair,11.79
S12000033,AbnCity,Aberdeen City,2015,life-satisfaction,good,55.2
S12000033,AbnCity,Aberdeen City,2015,worthwhile,poor,3.97
S12000033,AbnCity,Aberdeen City,2015,happiness,poor,9.42
S12000033,AbnCity,Aberdeen City,2015,happiness,average-mean,7.39
S12000033,AbnCity,Aberdeen City,2015,worthwhile,good,57.75
S12000033,AbnCity,Aberdeen City,2015,worthwhile,average-mean,7.77
S12000033,AbnCity,Aberdeen City,2015,anxiety,good,26.65
S12000033,AbnCity,Aberdeen City,2015,happiness,fair,15.06
S12000033,AbnCity,Aberdeen City,2015,life-satisfaction,average-mean,7.66
S12000033,AbnCity,Aberdeen City,2015,anxiety,average-mean,2.72
S12000033,AbnCity,Aberdeen City,2016,worthwhile,good,55.65
S12000033,AbnCity,Aberdeen City,2016,worthwhile,fair,14.3
S12000033,AbnCity,Aberdeen City,2016,worthwhile,very-good,25.28
S12000033,AbnCity,Aberdeen City,2016,life-satisfaction,very-good,23.48
S12000033,AbnCity,Aberdeen City,2016,life-satisfaction,good,57.3
S12000033,AbnCity,Aberdeen City,2016,happiness,average-mean,7.4
S12000033,AbnCity,Aberdeen City,2016,worthwhile,average-mean,7.56
S12000033,AbnCity,Aberdeen City,2016,life-satisfaction,fair,14.58
S12000033,AbnCity,Aberdeen City,2016,anxiety,good,30.74
S12000033,AbnCity,Aberdeen City,2016,life-satisfaction,poor,4.64
S12000033,AbnCity,Aberdeen City,2016,worthwhile,poor,4.77
S12000033,AbnCity,Aberdeen City,2016,anxiety,average-mean,2.9
S12000033,AbnCity,Aberdeen City,2016,happiness,very-good,30.29
S12000033,AbnCity,Aberdeen City,2016,anxiety,very-good,34.94
S12000033,AbnCity,Aberdeen City,2016,happiness,fair,17.19
S12000033,AbnCity,Aberdeen City,2016,happiness,good,42.95
S12000033,AbnCity,Aberdeen City,2016,anxiety,poor,17.56
S12000033,AbnCity,Aberdeen City,2016,happiness,poor,9.57
S12000033,AbnCity,Aberdeen City,2016,life-satisfaction,average-mean,7.51
S12000033,AbnCity,Aberdeen City,2016,anxiety,fair,16.75
S12000033,AbnCity,Aberdeen City,2017,worthwhile,very-good,29.77
S12000033,AbnCity,Aberdeen City,2017,worthwhile,poor,4.68
S12000033,AbnCity,Aberdeen City,2017,worthwhile,fair,17.16
S12000033,AbnCity,Aberdeen City,2017,worthwhile,good,48.39
S12000033,AbnCity,Aberdeen City,2017,happiness,very-good,30.08
S12000033,AbnCity,Aberdeen City,2017,anxiety,average-mean,2.81
S12000033,AbnCity,Aberdeen City,2017,life-satisfaction,very-good,28.18
S12000033,AbnCity,Aberdeen City,2017,anxiety,good,29.83
S12000033,AbnCity,Aberdeen City,2017,happiness,poor,8.96
S12000033,AbnCity,Aberdeen City,2017,life-satisfaction,poor,4.87
S12000033,AbnCity,Aberdeen City,2017,life-satisfaction,good,53.44
S12000033,AbnCity,Aberdeen City,2017,life-satisfaction,fair,13.51
S12000033,AbnCity,Aberdeen City,2017,happiness,fair,15.28
S12000033,AbnCity,Aberdeen City,2017,happiness,good,45.68
S12000033,AbnCity,Aberdeen City,2017,worthwhile,average-mean,7.68
S12000033,AbnCity,Aberdeen City,2017,happiness,average-mean,7.38
S12000033,AbnCity,Aberdeen City,2017,anxiety,fair,18.66
S12000033,AbnCity,Aberdeen City,2017,anxiety,poor,15.01
S12000033,AbnCity,Aberdeen City,2017,anxiety,very-good,36.5
S12000033,AbnCity,Aberdeen City,2017,life-satisfaction,average-mean,7.6
S12000033,AbnCity,Aberdeen City,2018,life-satisfaction,good,51.51
S12000033,AbnCity,Aberdeen City,2018,anxiety,good,20.67
S12000033,AbnCity,Aberdeen City,2018,anxiety,poor,20.43
S12000033,AbnCity,Aberdeen City,2018,worthwhile,fair,13.8
S12000033,AbnCity,Aberdeen City,2018,worthwhile,very-good,33.7
S12000033,AbnCity,Aberdeen City,2018,life-satisfaction,poor,4.55
S12000033,AbnCity,Aberdeen City,2018,life-satisfaction,very-good,29.43
S12000033,AbnCity,Aberdeen City,2018,worthwhile,poor,4.67
S12000033,AbnCity,Aberdeen City,2018,anxiety,average-mean,2.93
S12000033,AbnCity,Aberdeen City,2018,life-satisfaction,fair,14.51
S12000033,AbnCity,Aberdeen City,2018,happiness,good,35.41
S12000033,AbnCity,Aberdeen City,2018,happiness,average-mean,7.44
S12000033,AbnCity,Aberdeen City,2018,life-satisfaction,average-mean,7.63
S12000033,AbnCity,Aberdeen City,2018,worthwhile,average-mean,7.75
S12000033,AbnCity,Aberdeen City,2018,worthwhile,good,47.84
S12000033,AbnCity,Aberdeen City,2018,happiness,very-good,35.84
S12000033,AbnCity,Aberdeen City,2018,happiness,fair,19.97
S12000033,AbnCity,Aberdeen City,2018,anxiety,fair,18.05
S12000033,AbnCity,Aberdeen City,2018,anxiety,very-good,40.85
S12000033,AbnCity,Aberdeen City,2018,happiness,poor,8.79
S12000033,AbnCity,Aberdeen City,2019,worthwhile,fair,13.03
S12000033,AbnCity,Aberdeen City,2019,worthwhile,poor,5.33
S12000033,AbnCity,Aberdeen City,2019,life-satisfaction,poor,3.81
S12000033,AbnCity,Aberdeen City,2019,anxiety,fair,17.29
S12000033,AbnCity,Aberdeen City,2019,anxiety,poor,21.07
S12000033,AbnCity,Aberdeen City,2019,happiness,average-mean,7.37
S12000033,AbnCity,Aberdeen City,2019,anxiety,average-mean,3.1
S12000033,AbnCity,Aberdeen City,2019,worthwhile,very-good,27.91
S12000033,AbnCity,Aberdeen City,2019,life-satisfaction,fair,15.53
S12000033,AbnCity,Aberdeen City,2019,life-satisfaction,very-good,26.13
S12000033,AbnCity,Aberdeen City,2019,life-satisfaction,good,54.54
S12000033,AbnCity,Aberdeen City,2019,happiness,good,40.87
S12000033,AbnCity,Aberdeen City,2019,happiness,fair,15.96
S12000033,AbnCity,Aberdeen City,2019,worthwhile,average-mean,7.63
S12000033,AbnCity,Aberdeen City,2019,anxiety,good,26.89
S12000033,AbnCity,Aberdeen City,2019,worthwhile,good,53.73
S12000033,AbnCity,Aberdeen City,2019,happiness,poor,10.22
S12000033,AbnCity,Aberdeen City,2019,happiness,very-good,32.95
S12000033,AbnCity,Aberdeen City,2019,anxiety,very-good,34.74
S12000033,AbnCity,Aberdeen City,2019,life-satisfaction,average-mean,7.6
S12000033,AbnCity,Aberdeen City,2020,worthwhile,very-good,24.12
S12000033,AbnCity,Aberdeen City,2020,worthwhile,poor,4.49
S12000033,AbnCity,Aberdeen City,2020,worthwhile,fair,13.55
S12000033,AbnCity,Aberdeen City,2020,life-satisfaction,poor,6.04
S12000033,AbnCity,Aberdeen City,2020,happiness,very-good,25.4
S12000033,AbnCity,Aberdeen City,2020,happiness,fair,23.01
S12000033,AbnCity,Aberdeen City,2020,life-satisfaction,average-mean,7.21
S12000033,AbnCity,Aberdeen City,2020,happiness,average-mean,7.17
S12000033,AbnCity,Aberdeen City,2020,life-satisfaction,fair,18.14
S12000033,AbnCity,Aberdeen City,2020,happiness,poor,8.51
S12000033,AbnCity,Aberdeen City,2020,anxiety,average-mean,3.34
S12000033,AbnCity,Aberdeen City,2020,life-satisfaction,good,58.54
S12000033,AbnCity,Aberdeen City,2020,life-satisfaction,very-good,17.28
S12000033,AbnCity,Aberdeen City,2020,worthwhile,good,57.83
S12000033,AbnCity,Aberdeen City,2020,happiness,good,43.08
S12000033,AbnCity,Aberdeen City,2020,anxiety,poor,24.61
S12000033,AbnCity,Aberdeen City,2020,anxiety,fair,15.73
S12000033,AbnCity,Aberdeen City,2020,worthwhile,average-mean,7.56
S12000033,AbnCity,Aberdeen City,2020,anxiety,good,31.22
S12000033,AbnCity,Aberdeen City,2020,anxiety,very-good,28.45
S12000033,AbnCity,Aberdeen City,2021,anxiety,very-good,32.3
S12000033,AbnCity,Aberdeen City,2021,anxiety,poor,21.09
S12000033,AbnCity,Aberdeen City,2021,worthwhile,fair,20.42
S12000033,AbnCity,Aberdeen City,2021,worthwhile,good,50.32
S12000033,AbnCity,Aberdeen City,2021,worthwhile,very-good,25.38
S12000033,AbnCity,Aberdeen City,2021,happiness,average-mean,7.47
S12000033,AbnCity,Aberdeen City,2021,life-satisfaction,poor,5.52
S12000033,AbnCity,Aberdeen City,2021,worthwhile,poor,3.87
S12000033,AbnCity,Aberdeen City,2021,worthwhile,average-mean,7.48
S12000033,AbnCity,Aberdeen City,2021,life-satisfaction,average-mean,7.44
S12000033,AbnCity,Aberdeen City,2021,life-satisfaction,fair,16.4
S12000033,AbnCity,Aberdeen City,2021,life-satisfaction,good,55.29
S12000033,AbnCity,Aberdeen City,2021,life-satisfaction,very-good,22.78
S12000033,AbnCity,Aberdeen City,2021,happiness,poor,6.16
S12000033,AbnCity,Aberdeen City,2021,anxiety,average-mean,3.11
S12000033,AbnCity,Aberdeen City,2021,happiness,fair,18.86
S12000033,AbnCity,Aberdeen City,2021,happiness,good,47.89
S12000033,AbnCity,Aberdeen City,2021,happiness,very-good,27.09
S12000033,AbnCity,Aberdeen City,2021,anxiety,good,29.63
S12000033,AbnCity,Aberdeen City,2021,anxiety,fair,16.98
S12000033,AbnCity,Aberdeen City,2022,worthwhile,poor,5.25
S12000033,AbnCity,Aberdeen City,2022,worthwhile,fair,14.8
S12000033,AbnCity,Aberdeen City,2022,anxiety,average-mean,3.42
S12000033,AbnCity,Aberdeen City,2022,life-satisfaction,good,53.54
S12000033,AbnCity,Aberdeen City,2022,life-satisfaction,very-good,20.86
S12000033,AbnCity,Aberdeen City,2022,life-satisfaction,fair,20.62
S12000033,AbnCity,Aberdeen City,2022,anxiety,very-good,28.71
S12000033,AbnCity,Aberdeen City,2022,life-satisfaction,average-mean,7.35
S12000033,AbnCity,Aberdeen City,2022,worthwhile,very-good,31.09
S12000033,AbnCity,Aberdeen City,2022,life-satisfaction,poor,4.98
S12000033,AbnCity,Aberdeen City,2022,happiness,fair,13.95
S12000033,AbnCity,Aberdeen City,2022,happiness,good,46.68
S12000033,AbnCity,Aberdeen City,2022,happiness,poor,8.91
S12000033,AbnCity,Aberdeen City,2022,worthwhile,average-mean,7.65
S12000033,AbnCity,Aberdeen City,2022,anxiety,poor,26.95
S12000033,AbnCity,Aberdeen City,2022,happiness,average-mean,7.49
S12000033,AbnCity,Aberdeen City,2022,worthwhile,good,48.86
S12000033,AbnCity,Aberdeen City,2022,anxiety,good,29.5
S12000033,AbnCity,Aberdeen City,2022,happiness,very-good,30.46
S12000033,AbnCity,Aberdeen City,2022,anxiety,fair,14.84
S12000034,Abnshr,Aberdeenshire,2011,worthwhile,fair,12.04
S12000034,Abnshr,Aberdeenshire,2011,worthwhile,very-good,34.53
S12000034,Abnshr,Aberdeenshire,2011,worthwhile,good,50.87
S12000034,Abnshr,Aberdeenshire,2011,anxiety,poor,16.84
S12000034,Abnshr,Aberdeenshire,2011,anxiety,average-mean,2.6
S12000034,Abnshr,Aberdeenshire,2011,life-satisfaction,very-good,35.03
S12000034,Abnshr,Aberdeenshire,2011,life-satisfaction,good,49
S12000034,Abnshr,Aberdeenshire,2011,life-satisfaction,fair,12.38
S12000034,Abnshr,Aberdeenshire,2011,happiness,very-good,39.91
S12000034,Abnshr,Aberdeenshire,2011,worthwhile,average-mean,7.93
S12000034,Abnshr,Aberdeenshire,2011,happiness,good,37.08
S12000034,Abnshr,Aberdeenshire,2011,worthwhile,poor,2.57
S12000034,Abnshr,Aberdeenshire,2011,anxiety,fair,15.38
S12000034,Abnshr,Aberdeenshire,2011,life-satisfaction,average-mean,7.88
S12000034,Abnshr,Aberdeenshire,2011,life-satisfaction,poor,3.59
S12000034,Abnshr,Aberdeenshire,2011,anxiety,very-good,45.24
S12000034,Abnshr,Aberdeenshire,2011,happiness,average-mean,7.62
S12000034,Abnshr,Aberdeenshire,2011,happiness,poor,8.77
S12000034,Abnshr,Aberdeenshire,2011,happiness,fair,14.24
S12000034,Abnshr,Aberdeenshire,2011,anxiety,good,22.53
S12000034,Abnshr,Aberdeenshire,2012,anxiety,very-good,44.4
S12000034,Abnshr,Aberdeenshire,2012,anxiety,good,21.5
S12000034,Abnshr,Aberdeenshire,2012,worthwhile,very-good,33.28
S12000034,Abnshr,Aberdeenshire,2012,life-satisfaction,poor,3.48
S12000034,Abnshr,Aberdeenshire,2012,happiness,good,41.3
S12000034,Abnshr,Aberdeenshire,2012,happiness,poor,9.28
S12000034,Abnshr,Aberdeenshire,2012,life-satisfaction,fair,15.02
S12000034,Abnshr,Aberdeenshire,2012,happiness,fair,17.86
S12000034,Abnshr,Aberdeenshire,2012,anxiety,poor,19.66
S12000034,Abnshr,Aberdeenshire,2012,life-satisfaction,average-mean,7.73
S12000034,Abnshr,Aberdeenshire,2012,happiness,average-mean,7.38
S12000034,Abnshr,Aberdeenshire,2012,worthwhile,average-mean,7.83
S12000034,Abnshr,Aberdeenshire,2012,life-satisfaction,good,50.87
S12000034,Abnshr,Aberdeenshire,2012,worthwhile,good,49.21
S12000034,Abnshr,Aberdeenshire,2012,life-satisfaction,very-good,30.63
S12000034,Abnshr,Aberdeenshire,2012,worthwhile,fair,14.26
S12000034,Abnshr,Aberdeenshire,2012,anxiety,average-mean,2.78
S12000034,Abnshr,Aberdeenshire,2012,anxiety,fair,14.44
S12000034,Abnshr,Aberdeenshire,2012,worthwhile,poor,3.24
S12000034,Abnshr,Aberdeenshire,2012,happiness,very-good,31.57
S12000034,Abnshr,Aberdeenshire,2013,worthwhile,poor,1.79
S12000034,Abnshr,Aberdeenshire,2013,worthwhile,good,55.72
S12000034,Abnshr,Aberdeenshire,2013,anxiety,very-good,50.2
S12000034,Abnshr,Aberdeenshire,2013,worthwhile,very-good,33.31
S12000034,Abnshr,Aberdeenshire,2013,life-satisfaction,good,52.9
S12000034,Abnshr,Aberdeenshire,2013,happiness,average-mean,7.6
S12000034,Abnshr,Aberdeenshire,2013,anxiety,average-mean,2.25
S12000034,Abnshr,Aberdeenshire,2013,life-satisfaction,fair,11.46
S12000034,Abnshr,Aberdeenshire,2013,worthwhile,average-mean,7.97
S12000034,Abnshr,Aberdeenshire,2013,happiness,good,42.42
S12000034,Abnshr,Aberdeenshire,2013,anxiety,fair,13.76
S12000034,Abnshr,Aberdeenshire,2013,happiness,fair,13.21
S12000034,Abnshr,Aberdeenshire,2013,anxiety,good,22.73
S12000034,Abnshr,Aberdeenshire,2013,worthwhile,fair,9.18
S12000034,Abnshr,Aberdeenshire,2013,life-satisfaction,poor,3.21
S12000034,Abnshr,Aberdeenshire,2013,life-satisfaction,very-good,32.44
S12000034,Abnshr,Aberdeenshire,2013,happiness,very-good,36.01
S12000034,Abnshr,Aberdeenshire,2013,life-satisfaction,average-mean,7.86
S12000034,Abnshr,Aberdeenshire,2013,anxiety,poor,13.31
S12000034,Abnshr,Aberdeenshire,2013,happiness,poor,8.36
S12000034,Abnshr,Aberdeenshire,2014,anxiety,good,24.96
S12000034,Abnshr,Aberdeenshire,2014,happiness,good,42.46
S12000034,Abnshr,Aberdeenshire,2014,life-satisfaction,poor,2.88
S12000034,Abnshr,Aberdeenshire,2014,life-satisfaction,good,55.12
S12000034,Abnshr,Aberdeenshire,2014,life-satisfaction,very-good,31.8
S12000034,Abnshr,Aberdeenshire,2014,worthwhile,poor,2.17
S12000034,Abnshr,Aberdeenshire,2014,worthwhile,good,54.23
S12000034,Abnshr,Aberdeenshire,2014,life-satisfaction,fair,10.2
S12000034,Abnshr,Aberdeenshire,2014,happiness,fair,16.65
S12000034,Abnshr,Aberdeenshire,2014,happiness,average-mean,7.68
S12000034,Abnshr,Aberdeenshire,2014,happiness,poor,4.99
S12000034,Abnshr,Aberdeenshire,2014,worthwhile,very-good,33.88
S12000034,Abnshr,Aberdeenshire,2014,worthwhile,average-mean,7.97
S12000034,Abnshr,Aberdeenshire,2014,happiness,very-good,35.9
S12000034,Abnshr,Aberdeenshire,2014,anxiety,very-good,47
S12000034,Abnshr,Aberdeenshire,2014,anxiety,average-mean,2.4
S12000034,Abnshr,Aberdeenshire,2014,worthwhile,fair,9.73
S12000034,Abnshr,Aberdeenshire,2014,anxiety,fair,14.23
S12000034,Abnshr,Aberdeenshire,2014,life-satisfaction,average-mean,7.87
S12000034,Abnshr,Aberdeenshire,2014,anxiety,poor,13.81
S12000034,Abnshr,Aberdeenshire,2015,worthwhile,good,51.54
S12000034,Abnshr,Aberdeenshire,2015,anxiety,very-good,43.16
S12000034,Abnshr,Aberdeenshire,2015,worthwhile,fair,10.1
S12000034,Abnshr,Aberdeenshire,2015,anxiety,fair,15.36
S12000034,Abnshr,Aberdeenshire,2015,life-satisfaction,good,50.74
S12000034,Abnshr,Aberdeenshire,2015,life-satisfaction,average-mean,7.9
S12000034,Abnshr,Aberdeenshire,2015,life-satisfaction,very-good,34.62
S12000034,Abnshr,Aberdeenshire,2015,worthwhile,poor,1.57
S12000034,Abnshr,Aberdeenshire,2015,happiness,poor,6.88
S12000034,Abnshr,Aberdeenshire,2015,life-satisfaction,fair,12.22
S12000034,Abnshr,Aberdeenshire,2015,anxiety,average-mean,2.74
S12000034,Abnshr,Aberdeenshire,2015,happiness,good,43.34
S12000034,Abnshr,Aberdeenshire,2015,anxiety,good,23.46
S12000034,Abnshr,Aberdeenshire,2015,worthwhile,average-mean,8.01
S12000034,Abnshr,Aberdeenshire,2015,life-satisfaction,poor,2.42
S12000034,Abnshr,Aberdeenshire,2015,worthwhile,very-good,36.79
S12000034,Abnshr,Aberdeenshire,2015,anxiety,poor,18.02
S12000034,Abnshr,Aberdeenshire,2015,happiness,average-mean,7.68
S12000034,Abnshr,Aberdeenshire,2015,happiness,fair,13.27
S12000034,Abnshr,Aberdeenshire,2015,happiness,very-good,36.51
S12000034,Abnshr,Aberdeenshire,2016,worthwhile,good,50.07
S12000034,Abnshr,Aberdeenshire,2016,worthwhile,fair,12.14
S12000034,Abnshr,Aberdeenshire,2016,worthwhile,poor,1.79
S12000034,Abnshr,Aberdeenshire,2016,anxiety,good,30.88
S12000034,Abnshr,Aberdeenshire,2016,life-satisfaction,very-good,31.95
S12000034,Abnshr,Aberdeenshire,2016,anxiety,poor,15.69
S12000034,Abnshr,Aberdeenshire,2016,anxiety,average-mean,2.75
S12000034,Abnshr,Aberdeenshire,2016,worthwhile,very-good,35.99
S12000034,Abnshr,Aberdeenshire,2016,happiness,average-mean,7.59
S12000034,Abnshr,Aberdeenshire,2016,happiness,fair,17.93
S12000034,Abnshr,Aberdeenshire,2016,happiness,very-good,37.92
S12000034,Abnshr,Aberdeenshire,2016,happiness,good,36.87
S12000034,Abnshr,Aberdeenshire,2016,anxiety,very-good,37.67
S12000034,Abnshr,Aberdeenshire,2016,life-satisfaction,average-mean,7.76
S12000034,Abnshr,Aberdeenshire,2016,worthwhile,average-mean,7.97
S12000034,Abnshr,Aberdeenshire,2016,life-satisfaction,fair,13.52
S12000034,Abnshr,Aberdeenshire,2016,life-satisfaction,poor,3.69
S12000034,Abnshr,Aberdeenshire,2016,life-satisfaction,good,50.85
S12000034,Abnshr,Aberdeenshire,2016,happiness,poor,7.28
S12000034,Abnshr,Aberdeenshire,2016,anxiety,fair,15.76
S12000034,Abnshr,Aberdeenshire,2017,worthwhile,poor,2.18
S12000034,Abnshr,Aberdeenshire,2017,worthwhile,good,46.9
S12000034,Abnshr,Aberdeenshire,2017,anxiety,fair,16.08
S12000034,Abnshr,Aberdeenshire,2017,worthwhile,very-good,39.1
S12000034,Abnshr,Aberdeenshire,2017,life-satisfaction,good,54.03
S12000034,Abnshr,Aberdeenshire,2017,life-satisfaction,very-good,32.83
S12000034,Abnshr,Aberdeenshire,2017,anxiety,good,28.16
S12000034,Abnshr,Aberdeenshire,2017,worthwhile,average-mean,8.05
S12000034,Abnshr,Aberdeenshire,2017,life-satisfaction,fair,9.72
S12000034,Abnshr,Aberdeenshire,2017,worthwhile,fair,11.83
S12000034,Abnshr,Aberdeenshire,2017,happiness,good,39.61
S12000034,Abnshr,Aberdeenshire,2017,anxiety,very-good,38.25
S12000034,Abnshr,Aberdeenshire,2017,happiness,poor,6.84
S12000034,Abnshr,Aberdeenshire,2017,life-satisfaction,poor,3.41
S12000034,Abnshr,Aberdeenshire,2017,anxiety,average-mean,2.74
S12000034,Abnshr,Aberdeenshire,2017,anxiety,poor,17.51
S12000034,Abnshr,Aberdeenshire,2017,happiness,average-mean,7.71
S12000034,Abnshr,Aberdeenshire,2017,happiness,very-good,38.77
S12000034,Abnshr,Aberdeenshire,2017,happiness,fair,14.79
S12000034,Abnshr,Aberdeenshire,2017,life-satisfaction,average-mean,7.89
S12000034,Abnshr,Aberdeenshire,2018,worthwhile,very-good,37.87
S12000034,Abnshr,Aberdeenshire,2018,worthwhile,poor,1.74
S12000034,Abnshr,Aberdeenshire,2018,worthwhile,fair,9.39
S12000034,Abnshr,Aberdeenshire,2018,worthwhile,good,51
S12000034,Abnshr,Aberdeenshire,2018,life-satisfaction,fair,10.74
S12000034,Abnshr,Aberdeenshire,2018,life-satisfaction,very-good,34.83
S12000034,Abnshr,Aberdeenshire,2018,life-satisfaction,good,51.69
S12000034,Abnshr,Aberdeenshire,2018,anxiety,fair,17.38
S12000034,Abnshr,Aberdeenshire,2018,happiness,average-mean,7.67
S12000034,Abnshr,Aberdeenshire,2018,happiness,good,40.91
S12000034,Abnshr,Aberdeenshire,2018,happiness,very-good,38.16
